spin index,aktuální kredit,bet,vyhra,nasobok
 1068,317400,100,0,0
 1069,317300,100,0,0
 1070,317200,100,0,0
 1071,317100,100,0,0
 1072,317000,100,0,0
 1073,316900,100,0,0
 1074,316800,100,0,0
 1075,316700,100,0,0
 1076,316600,100,0,0
 1077,316500,100,0,0
 1078,316400,100,0,0
 1079,316300,100,0,0
 1080,316200,100,0,0
 1081,318600,100,2500,25
 1082,318500,100,0,0
 1083,318400,100,0,0
 1084,318300,100,0,0
 1085,318200,100,0,0
 1086,318100,100,0,0
 1087,318000,100,0,0
 1088,317900,100,0,0
 1089,317800,100,0,0
 1090,317800,100,100,1
 1091,317700,100,0,0
 1092,317600,100,0,0
 1093,317500,100,0,0
 1094,318400,100,1000,10
 1095,318300,100,0,0
 1096,318200,100,0,0
 1097,318100,100,0,0
 1098,318000,100,0,0
 1099,317900,100,0,0
 1100,317800,100,0,0
 1101,317700,100,0,0
 1102,317600,100,0,0
 1103,322500,100,5000,50
 1104,322400,100,0,0
 1105,322300,100,0,0
 1106,322300,100,100,1
 1107,322200,100,0,0
 1108,322100,100,0,0
 1109,323000,100,1000,10
 1110,322900,100,0,0
 1111,322800,100,0,0
 1112,322700,100,0,0
 1113,322600,100,0,0
 1114,322500,100,0,0
 1115,322400,100,0,0
 1116,322300,100,0,0
 1117,322200,100,0,0
 1118,322100,100,0,0
 1119,322000,100,0,0
 1120,321900,100,0,0
 1121,321800,100,0,0
 1122,321700,100,0,0
 1123,321600,100,0,0
 1124,321500,100,0,0
 1125,321400,100,0,0
 1126,321300,100,0,0
 1127,321200,100,0,0
 1128,321100,100,0,0
 1129,321000,100,0,0
 1130,321900,100,1000,10
 1131,324300,100,2500,25
 1132,324200,100,0,0
